"No.","Time","Source","Destination","Protocol","Length","Info","src port","dest port","hard src addr","hard dest addr","UTC time","The RTT to ACK the segment was"
"52130","323.877203","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=375/30465, ttl=128 (reply in 52131)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:31:27.821895",""
"52131","323.882439","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=375/30465, ttl=254 (request in 52130)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:31:27.827131",""
"52132","324.900274","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=376/30721, ttl=128 (reply in 52133)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:31:28.844966",""
"52133","324.907001","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=376/30721, ttl=254 (request in 52132)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:31:28.851693",""
"52135","325.924734","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=377/30977, ttl=128 (reply in 52139)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:31:29.869426",""
"52139","326.003730","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=377/30977, ttl=254 (request in 52135)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:31:29.948422",""
"52163","326.948865","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=378/31233, ttl=128 (reply in 52165)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:31:30.893557",""
"52165","327.028571","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=378/31233, ttl=254 (request in 52163)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:31:30.973263",""
"52176","327.971537","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=379/31489, ttl=128 (reply in 52178)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:31:31.916229",""
"52178","328.021492","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=379/31489, ttl=254 (request in 52176)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:31:31.966184",""
